순번,수거장소구분명,수거장소명,지번주소,도로명주소,행정동코드,행정동명,법정동코드,법정동명,개설자명,전화번호,비고,위도,경도,데이터기준일자
129,약국,산들약국,대전광역시 서구 둔산동 1818,대전광역시 서구 둔산로 210-1,3017066000,둔산3동,3017011200,둔산동,이**,,,36.35104281,127.397289,2025-01-17
130,약국,삼일약국,대전광역시 서구 월평동 540,대전광역시 서구 월평중로 36,3017058600,월평1동,3017011300,월평동,허**,,,36.35790415,127.3641772,2025-01-17
131,약국,상록약국,대전광역시 서구 둔산동 908,대전광역시 서구 청사로 281,3017064000,둔산2동,3017011200,둔산동,김**,,,36.36131161,127.3933064,2025-01-17
132,약국,상명약국,대전광역시 서구 괴정동 91-5,대전광역시 서구 갈마로 259,3017056000,괴정동,3017010800,괴정동,최**,,,36.33345831,127.3829181,2025-01-17
133,약국,상아약국,대전광역시 서구 둔산동 1082,대전광역시 서구 둔산로 14,3017064000,둔산2동,3017011200,둔산동,김**,,,36.35217532,127.3753798,2025-01-17
134,약국,새로운대학약국,대전광역시 서구 관저동 1899,대전광역시 서구 관저동로 162,3017059600,관저1동,3017011600,관저동,전**,,,36.30656898,127.3411443,2025-01-17
135,약국,새봄약국,대전광역시 서구 둔산동 1452,대전광역시 서구 둔산로 134,3017063000,둔산1동,3017011200,둔산동,하**,,,36.35097964,127.3886279,2025-01-17
136,약국,새봄약국,대전광역시 서구 둔산동 1452,대전광역시 서구 둔산로 134,3017063000,둔산1동,3017011200,둔산동,김**,,,36.35097964,127.3886279,2025-01-17
137,약국,새천년약국,대전광역시 서구 내동 8-28,대전광역시 서구 도산로 235,3017057500,내동,3017011000,내동,조**,,,36.32905178,127.3813784,2025-01-17
138,약국,서부실로암약국,대전광역시 서구 도마동 172-15,대전광역시 서구 도산로 51,3017053000,도마2동,3017010300,도마동,정**,,,36.31330796,127.3795775,2025-01-17
139,약국,서울약국,대전광역시 서구 도마동 173-1,대전광역시 서구 계백로 1426,3017053000,도마2동,3017010300,도마동,주**,,,36.31257799,127.3797805,2025-01-17
140,약국,서울온누리약국,대전광역시 서구 둔산동 1143,대전광역시 서구 문정로 7,3017064000,둔산2동,3017011200,둔산동,이**,,,36.34545325,127.3806293,2025-01-17
141,약국,서정약국,대전광역시 서구 도마동 188-7,대전광역시 서구 계백로 1400,3017053000,도마2동,3017010300,도마동,이**,,,36.31143737,127.3773055,2025-01-17
142,약국,선사온누리약국,대전광역시 서구 월평동 273,대전광역시 서구 청사로 121,3017058700,월평2동,3017011300,월평동,박**,,,36.36008344,127.3772823,2025-01-17
143,약국,선사일등약국,대전광역시 서구 월평동 271,대전광역시 서구 청사서로 26,3017058700,월평2동,3017011300,월평동,박**,,,36.36010927,127.3769492,2025-01-17
144,약국,선사프라임약국,대전광역시 서구 월평동 282-3,대전광역시 서구 청사로 128,3017058700,월평2동,3017011300,월평동,김**,,,36.35949585,127.3778322,2025-01-17
145,약국,선사프라임약국,대전광역시 서구 월평동 282-3,대전광역시 서구 청사로 128,3017058700,월평2동,3017011300,월평동,김**,,,36.35949585,127.3778322,2025-01-17
146,약국,선화한약국,대전광역시 서구 월평동 19,대전광역시 서구 계룡로264번길 4,3017058600,월평1동,3017011300,월평동,이**,,,36.35196244,127.3593225,2025-01-17
147,약국,성모약국,대전광역시 서구 도마동 175-1,대전광역시 서구 계백로 1442,3017052000,도마1동,3017010300,도마동,양**,,,36.31338328,127.3813411,2025-01-17
148,약국,성원약국,대전광역시 서구 탄방동 699,대전광역시 서구 문정로 62,3017055500,탄방동,3017010600,탄방동,주*,,,36.34644239,127.3861603,2025-01-17
